Name,Age,Experience (Years),Education Level,Hours Worked per week,Projects Completed,Performance Category
Zain Iqbal,42,1,Master,5,14,Average
Ali Iqbal,29,15,Master,9,15,Average
Usman Shah,30,12,PhD,4,0,Good
Sara Ashraf,36,16,Bachelor,9,9,Good
Bilal Ashraf,39,20,PhD,5,6,Average
Ali Sheikh,41,18,High School,4,15,Average
Bilal Chaudhry,27,6,Bachelor,4,9,Excellent
Ayesha Qureshi,33,7,Master,5,11,Poor
Amna Shah,23,12,Bachelor,8,16,Average
Zain Ashraf,28,1,Bachelor,7,12,Excellent
Zain Qureshi,37,10,Bachelor,7,11,Excellent
Bilal Raza,24,23,Master,7,14,Poor
Bilal Iqbal,24,5,Bachelor,4,13,Average
Amna Butt,48,25,Master,7,18,Average
Ahmed Ashraf,59,6,Master,4,18,Average
Amna Iqbal,54,18,Master,8,13,Average
Hassan Qureshi,49,5,Bachelor,5,17,Outstanding
Ayesha Chaudhry,22,28,PhD,5,4,Average
Fatima Shah,29,1,Bachelor,4,19,Average
Ahmed Malik,58,18,High School,4,5,Average
Sara Butt,53,3,High School,8,17,Low
Ahmed Malik,58,5,Bachelor,7,13,Average
Sara Iqbal,25,27,High School,8,3,Low
Bilal Ashraf,51,29,High School,5,0,Good
Amna Chaudhry,27,6,Bachelor,5,12,Average
Usman Sheikh,40,8,Bachelor,9,10,Average
Bilal Khan,53,24,Master,7,2,Average
Ali Sheikh,30,32,Master,5,16,Low
Hassan Chaudhry,33,0,Master,9,17,Low
Bilal Malik,32,5,Bachelor,4,9,Excellent
Ali Qureshi,37,17,Bachelor,5,15,Excellent
Sara Ashraf,22,9,PhD,6,12,Poor
Ali Chaudhry,42,27,High School,7,19,Good
Usman Shah,51,10,Master,9,11,Average
Bilal Chaudhry,34,32,Bachelor,7,3,Average
Amna Qureshi,55,0,PhD,7,7,Good
Zain Khan,25,12,Bachelor,6,11,Average
Ahmed Butt,49,19,Bachelor,8,18,Poor
Hassan Khan,59,0,Master,4,14,Low
Sara Iqbal,52,2,Bachelor,7,15,Low
Ayesha Raza,48,17,Bachelor,5,11,Poor
Usman Chaudhry,26,13,Bachelor,4,19,Average
Amna Iqbal,46,30,Master,5,17,Average
Sara Chaudhry,24,26,High School,4,11,Good
Ahmed Khan,54,16,High School,4,15,Average
Fatima Raza,25,28,Bachelor,9,19,Low
Usman Sheikh,46,25,High School,5,10,Low
Ali Qureshi,41,16,Master,5,19,Excellent
Bilal Ashraf,55,21,Bachelor,4,13,Low
Bilal Shah,47,24,Bachelor,7,1,Excellent
Zain Raza,26,1,Bachelor,5,12,Average
Amna Khan,56,21,Bachelor,6,13,Excellent
Ali Malik,49,4,High School,6,5,Average
Amna Qureshi,50,3,High School,4,11,Low
Amna Chaudhry,30,5,High School,8,6,Average
Fatima Ashraf,59,20,PhD,4,3,Average
Ayesha Raza,27,12,High School,4,6,Average
Zain Raza,40,24,Master,7,12,Average
Hassan Shah,32,25,High School,7,10,Poor
Zain Khan,23,19,High School,9,7,Average
Ayesha Sheikh,30,32,Bachelor,8,18,Excellent
Bilal Iqbal,42,13,Bachelor,8,1,Outstanding
Ali Iqbal,45,16,PhD,8,17,Average
Ali Iqbal,55,20,PhD,8,9,Poor
Ayesha Ashraf,43,15,Master,8,5,Low
Ali Iqbal,24,15,Master,4,3,Good
Ayesha Iqbal,33,19,Bachelor,4,18,Good
Zain Qureshi,49,28,Bachelor,9,13,Excellent
Hassan Shah,51,27,PhD,6,13,Average
Zain Butt,47,7,Master,6,17,Excellent
Sara Ashraf,42,23,Bachelor,9,16,Good
Hassan Butt,49,2,Bachelor,9,17,Average
Zain Khan,47,24,High School,5,17,Good
Hassan Malik,54,18,PhD,4,4,Low
Ayesha Malik,42,32,Bachelor,8,8,Average
Bilal Raza,56,1,Bachelor,5,0,Outstanding
Sara Ashraf,55,14,High School,7,3,Low
Bilal Ashraf,39,21,Master,4,6,Good
Amna Iqbal,32,9,High School,9,10,Average
Usman Qureshi,44,17,Master,6,13,Good
Sara Qureshi,43,21,High School,4,9,Good
Ali Shah,38,26,Master,9,18,Excellent
Fatima Malik,26,12,Master,4,7,Good
Amna Sheikh,32,32,Bachelor,4,2,Average
Hassan Ashraf,51,4,Bachelor,4,7,Poor
Fatima Raza,36,25,Bachelor,7,17,Good
Zain Qureshi,48,12,Bachelor,6,4,Average
Ahmed Raza,56,26,Master,4,19,Good
Hassan Raza,54,13,Bachelor,9,10,Low
Sara Raza,41,23,Bachelor,7,8,Excellent
Ayesha Raza,37,2,Bachelor,5,18,Average
Sara Raza,55,29,Bachelor,4,11,Excellent
Sara Chaudhry,23,34,Master,7,4,Good
Fatima Sheikh,56,13,Bachelor,8,15,Low
Ali Malik,49,11,PhD,5,12,Average
Ali Butt,27,27,PhD,6,5,Excellent
Zain Khan,30,28,High School,4,15,Good
Amna Khan,41,16,Bachelor,4,17,Average
Hassan Ashraf,22,20,Master,7,16,Outstanding
Zain Ashraf,29,22,Bachelor,6,11,Average
Hassan Chaudhry,44,19,High School,8,0,Average
Ayesha Butt,24,10,Bachelor,5,6,Good
Ahmed Iqbal,25,33,Bachelor,9,13,Low
Ayesha Shah,46,9,Master,6,17,Average
Sara Chaudhry,59,9,High School,4,0,Good
Ahmed Khan,36,5,High School,7,19,Average
Amna Shah,42,23,PhD,8,9,Low
Hassan Iqbal,56,11,Master,7,14,Average
Usman Iqbal,35,22,Bachelor,5,10,Average
Fatima Shah,57,26,Master,6,3,Average
Ahmed Butt,33,5,Bachelor,7,14,Good
Ali Iqbal,38,0,Master,9,15,Low
Hassan Ashraf,30,5,Bachelor,9,14,Good
Usman Khan,56,21,Bachelor,7,16,Good
Sara Shah,34,23,Master,4,10,Good
Zain Malik,36,24,Bachelor,7,17,Average
Fatima Ashraf,39,14,PhD,8,15,Average
Zain Qureshi,54,25,Bachelor,6,14,Average
Ahmed Iqbal,27,7,PhD,5,10,Good
Ayesha Raza,48,23,PhD,9,12,Average
Ayesha Butt,44,5,Bachelor,7,17,Average
Zain Ashraf,48,34,Master,8,7,Average
Fatima Sheikh,55,0,Bachelor,9,8,Good
Hassan Shah,59,11,PhD,9,10,Poor
Sara Shah,35,10,Bachelor,5,16,Outstanding
Fatima Ashraf,57,11,Master,9,0,Poor
Bilal Qureshi,29,6,Bachelor,8,10,Average
Hassan Sheikh,56,10,Bachelor,9,6,Average
Zain Sheikh,40,30,Bachelor,9,7,Low
Zain Raza,51,32,Bachelor,7,18,Excellent
Ali Qureshi,35,12,Master,7,3,Average
Sara Iqbal,41,17,Master,6,3,Low
Bilal Shah,46,23,Master,4,18,Good
Sara Sheikh,45,8,Bachelor,8,8,Good
Ahmed Butt,35,30,Bachelor,4,16,Outstanding
Usman Sheikh,47,9,High School,4,17,Average
Bilal Butt,59,1,Master,9,0,Average
Ahmed Iqbal,44,14,PhD,5,13,Poor
Amna Ashraf,43,2,Bachelor,5,3,Good
Hassan Qureshi,40,30,High School,9,9,Average
Ayesha Iqbal,24,5,Bachelor,8,13,Outstanding
Zain Khan,40,2,Master,4,6,Good
Bilal Malik,30,10,Master,6,11,Excellent
Ahmed Khan,49,14,Master,4,15,Outstanding
Sara Qureshi,41,27,Bachelor,5,4,Average
Hassan Malik,28,9,Master,4,10,Low
Hassan Ashraf,35,6,Master,7,3,Low
Ayesha Ashraf,30,14,Bachelor,7,12,Average
Fatima Iqbal,40,17,Bachelor,6,7,Average
Amna Qureshi,35,17,High School,8,6,Low
Fatima Khan,59,23,Bachelor,4,10,Average
Bilal Malik,57,1,Master,7,10,Average
Fatima Chaudhry,38,19,Bachelor,8,16,Poor
Sara Chaudhry,51,33,Master,7,13,Average
Zain Iqbal,30,25,Bachelor,8,1,Low
Ahmed Qureshi,54,6,Bachelor,8,19,Average
Fatima Ashraf,46,29,Bachelor,7,7,Low
Amna Butt,35,4,Bachelor,9,1,Good
Hassan Malik,32,10,Bachelor,5,14,Poor
Bilal Chaudhry,56,0,High School,8,4,Excellent
Ayesha Butt,35,33,Bachelor,9,5,Average
Ahmed Sheikh,51,0,High School,4,16,Average
Fatima Shah,25,18,High School,9,7,Average
Zain Chaudhry,25,1,Bachelor,7,18,Average
Bilal Malik,49,20,Bachelor,9,4,Low
Ali Sheikh,29,19,PhD,5,18,Good
Fatima Raza,23,22,Bachelor,7,13,Excellent
Fatima Ashraf,43,20,Master,6,9,Outstanding
Ayesha Qureshi,37,23,Bachelor,4,12,Good
Zain Shah,50,3,Master,6,4,Average
Ayesha Butt,51,11,Bachelor,9,6,Average
Fatima Chaudhry,33,21,PhD,8,9,Good
Amna Butt,56,19,Bachelor,9,10,Good
Bilal Sheikh,32,17,Master,8,2,Average
Ahmed Khan,42,0,Bachelor,6,12,Excellent
Ahmed Raza,42,29,High School,6,1,Average
Ayesha Malik,26,32,Master,8,3,Average
Sara Sheikh,41,23,High School,5,2,Outstanding
Bilal Malik,58,13,Bachelor,4,14,Excellent
Ali Malik,24,4,Bachelor,7,3,Good
Hassan Iqbal,54,10,Master,6,3,Average
Usman Khan,30,23,PhD,4,14,Low
Bilal Iqbal,30,30,Bachelor,7,5,Poor
Ali Malik,25,12,Master,9,4,Good
Ayesha Chaudhry,56,15,Bachelor,7,11,Average
Ahmed Malik,38,23,Bachelor,6,6,Average
Bilal Qureshi,55,12,PhD,5,2,Average
Sara Raza,45,23,Master,5,6,Average
Ayesha Butt,53,25,Master,4,11,Average
Ahmed Sheikh,22,1,Bachelor,9,14,Excellent
Amna Sheikh,29,15,Bachelor,4,18,Poor
Usman Khan,44,0,Bachelor,8,5,Good
Fatima Ashraf,33,10,Bachelor,5,7,Average
Hassan Butt,33,34,Bachelor,4,5,Good
Amna Qureshi,36,28,Master,8,2,Excellent
Amna Butt,40,16,Master,9,4,Average
Ahmed Iqbal,47,27,Bachelor,7,8,Poor
Ahmed Chaudhry,50,28,High School,4,15,Low
Zain Butt,43,2,Master,8,15,Low
Zain Shah,42,9,Bachelor,5,8,Good
Amna Iqbal,59,13,Master,7,17,Poor
Ayesha Ashraf,41,11,High School,4,12,Poor
Hassan Iqbal,50,29,Bachelor,5,10,Good
Sara Malik,25,31,PhD,7,9,Average
Hassan Qureshi,28,31,High School,6,9,Average
Fatima Shah,49,31,Bachelor,5,5,Average
Ayesha Sheikh,49,25,Bachelor,6,15,Good
Ayesha Khan,25,0,PhD,9,11,Low
Usman Iqbal,43,1,Master,4,3,Average
Ahmed Ashraf,33,16,Bachelor,8,4,Good
Ayesha Butt,24,29,High School,4,1,Average
Amna Khan,43,6,Master,5,18,Good
Hassan Butt,23,26,Bachelor,6,0,Good
Ayesha Khan,45,8,Master,6,3,Good
Bilal Qureshi,55,21,High School,7,11,Good
Zain Raza,48,33,High School,4,1,Good
Usman Iqbal,22,0,Master,4,11,Good
Fatima Raza,29,8,Bachelor,5,15,Good
Bilal Iqbal,44,19,Master,6,1,Average
Bilal Shah,59,18,High School,5,16,Low
Sara Sheikh,27,3,Bachelor,5,1,Average
Bilal Shah,43,8,PhD,9,3,Low
Sara Qureshi,46,21,Bachelor,6,5,Average
Ali Shah,39,17,Master,5,6,Average
Sara Iqbal,38,11,Bachelor,6,14,Outstanding
Zain Qureshi,33,8,Master,5,19,Outstanding
Ayesha Iqbal,27,5,Master,8,11,Good
Ayesha Shah,47,18,Bachelor,5,4,Outstanding
Sara Malik,48,6,Master,5,13,Outstanding
Ahmed Sheikh,29,15,Master,8,15,Excellent
Ayesha Malik,40,4,Bachelor,4,10,Poor
Hassan Chaudhry,22,15,Bachelor,6,11,Average
Hassan Qureshi,50,0,Bachelor,7,18,Average
Zain Butt,56,18,Bachelor,8,16,Low
Sara Ashraf,35,16,Bachelor,4,6,Good
Usman Sheikh,56,25,Bachelor,5,8,Low
Usman Iqbal,41,21,Bachelor,9,13,Average
Usman Sheikh,34,7,Master,4,19,Poor
Ali Qureshi,59,32,Bachelor,8,11,Average
Ayesha Sheikh,29,1,PhD,9,14,Average
Hassan Khan,41,29,Bachelor,5,11,Good
Sara Malik,54,19,Bachelor,4,12,Average
Ahmed Khan,47,17,Master,7,8,Average
Hassan Raza,42,9,Bachelor,6,6,Good
Fatima Shah,30,23,Bachelor,6,0,Good
Ayesha Butt,45,3,High School,8,9,Average
Fatima Butt,58,3,Bachelor,5,5,Poor
Usman Ashraf,38,12,Bachelor,5,14,Poor
Ali Sheikh,45,24,PhD,6,14,Good
Usman Qureshi,42,12,Bachelor,4,8,Average
Bilal Malik,34,17,Master,5,12,Low
Amna Butt,32,23,Master,7,0,Low
Ahmed Raza,40,1,Bachelor,7,8,Good
Ayesha Shah,32,32,Bachelor,5,2,Average
Usman Malik,34,18,Master,5,8,Average
Sara Shah,22,8,Master,6,19,Average
Hassan Raza,40,27,Bachelor,8,14,Low
Usman Raza,33,34,Bachelor,6,6,Average
Hassan Malik,29,9,Bachelor,8,3,Average
Amna Raza,29,0,High School,7,19,Average
Hassan Shah,33,20,Bachelor,8,16,Excellent
Ayesha Ashraf,54,8,Master,6,3,Average
Ahmed Khan,47,14,Bachelor,5,18,Good
Amna Iqbal,49,34,Master,8,4,Low
Ali Qureshi,26,4,Master,6,15,Average
Hassan Qureshi,29,21,Bachelor,7,2,Low
Sara Ashraf,46,22,High School,9,10,Good
Usman Raza,48,6,Master,8,14,Average
Ali Raza,44,22,Master,7,18,Average
Bilal Ashraf,51,24,Master,7,13,Good
Usman Sheikh,44,26,High School,4,15,Outstanding
Ayesha Chaudhry,41,5,Bachelor,9,5,Low
Ali Shah,39,33,High School,8,4,Poor
Sara Khan,39,8,Bachelor,6,16,Low
Usman Chaudhry,23,32,Master,8,15,Good
Hassan Chaudhry,25,5,High School,8,1,Low
Ahmed Ashraf,51,30,Master,9,10,Average
Ali Raza,54,33,Bachelor,7,3,Average
Ahmed Butt,57,28,Master,7,5,Average
Ali Chaudhry,39,13,PhD,7,6,Poor
Fatima Khan,58,14,High School,7,16,Average
Usman Ashraf,40,7,PhD,9,7,Low
Ahmed Iqbal,49,25,High School,6,0,Low
Ali Sheikh,41,20,Bachelor,5,14,Average
Hassan Raza,54,27,Master,4,19,Good
Fatima Iqbal,33,3,PhD,7,11,Poor
Fatima Butt,36,15,Bachelor,7,14,Average
Sara Khan,23,21,Bachelor,4,14,Low
Bilal Ashraf,50,11,Master,7,8,Good
Ahmed Qureshi,31,15,Master,5,15,Good
Usman Butt,23,28,High School,8,1,Good
Hassan Iqbal,32,17,Master,4,14,Average
Ayesha Iqbal,34,9,Bachelor,6,14,Average
Hassan Raza,31,17,Bachelor,4,6,Good
Zain Sheikh,35,0,Bachelor,5,12,Poor
Amna Ashraf,39,20,Bachelor,9,16,Average
Fatima Butt,30,0,PhD,6,10,Good
Ayesha Chaudhry,49,14,Bachelor,8,9,Average
Amna Sheikh,24,3,PhD,7,0,Average
Ali Iqbal,41,19,Bachelor,4,13,Good
Ahmed Butt,27,9,Master,6,4,Poor
Ayesha Qureshi,48,22,Master,4,7,Average
Amna Ashraf,23,33,Master,8,0,Average
Hassan Khan,50,32,Master,4,6,Poor
Amna Shah,59,33,Bachelor,6,1,Low
Ahmed Khan,24,9,Master,5,6,Average
Zain Ashraf,37,19,Master,9,6,Low
Zain Raza,51,0,High School,6,8,Average
Fatima Malik,23,12,Master,4,3,Average
Amna Shah,38,0,Bachelor,8,6,Poor
Sara Iqbal,33,4,Bachelor,7,19,Average
Hassan Iqbal,56,15,Master,7,17,Poor
Ahmed Chaudhry,22,14,Bachelor,8,12,Average
Ayesha Ashraf,36,27,Master,4,10,Average
Bilal Ashraf,47,30,Bachelor,9,8,Good
Ali Malik,58,22,High School,8,13,Average
Amna Malik,42,16,Bachelor,4,7,Average
Usman Sheikh,52,33,High School,6,13,Good
Ahmed Khan,46,12,Master,9,16,Average
Sara Malik,44,13,Bachelor,5,13,Average
Hassan Raza,45,10,Bachelor,4,4,Good
Ali Khan,59,27,High School,7,9,Low
Zain Shah,49,31,Bachelor,7,5,Outstanding
Hassan Iqbal,42,34,Master,9,9,Excellent
Zain Chaudhry,39,30,Bachelor,5,10,Average
Ayesha Khan,57,16,Master,4,5,Excellent
Fatima Raza,56,8,PhD,5,9,Good
Zain Malik,30,9,Master,6,13,Excellent
Usman Raza,59,7,Master,5,19,Good
Hassan Malik,51,20,High School,6,2,Good
Hassan Khan,55,12,Bachelor,7,6,Poor
Fatima Iqbal,53,4,Master,6,1,Average
Bilal Ashraf,24,5,Master,4,6,Low
Usman Chaudhry,24,29,Master,9,16,Average
Ayesha Iqbal,49,30,Master,9,12,Outstanding
Usman Malik,36,16,Bachelor,4,8,Poor
Ayesha Malik,44,10,High School,4,12,Good
Sara Iqbal,32,19,Master,4,14,Low
Ali Malik,53,8,Master,8,12,Poor
Sara Iqbal,57,1,Bachelor,6,16,Average
Bilal Raza,54,0,Master,4,7,Low
Sara Iqbal,45,3,Bachelor,9,8,Outstanding
Sara Chaudhry,55,24,Bachelor,5,8,Low
Ahmed Iqbal,49,2,Master,5,7,Low
Amna Shah,58,8,Master,8,15,Poor
Ali Chaudhry,28,21,Bachelor,6,19,Average
Fatima Butt,25,22,High School,6,6,Poor
Bilal Malik,58,11,Bachelor,6,16,Average
Ahmed Sheikh,22,9,Master,9,6,Average
Amna Shah,22,33,Bachelor,9,5,Poor
Amna Ashraf,41,9,Master,8,4,Low
Ahmed Iqbal,40,29,PhD,6,16,Good
Zain Butt,50,21,Master,6,7,Average
Fatima Ashraf,31,5,Bachelor,4,0,Average
Amna Ashraf,39,1,Master,6,15,Good
Fatima Shah,49,29,Bachelor,9,16,Good
Bilal Ashraf,56,1,Bachelor,4,2,Good
Zain Raza,52,31,High School,4,12,Good
Zain Iqbal,48,15,Bachelor,6,7,Low
Sara Shah,32,11,PhD,5,15,Poor
Amna Qureshi,59,0,Bachelor,7,6,Average
Fatima Butt,26,7,Bachelor,9,14,Excellent
Hassan Shah,29,12,PhD,5,1,Poor
Usman Khan,55,14,High School,6,1,Average
Ayesha Chaudhry,33,7,Master,6,9,Good
Usman Iqbal,59,9,Bachelor,5,4,Average
Ahmed Qureshi,22,4,High School,6,3,Average
Usman Qureshi,52,18,PhD,9,14,Average
Sara Raza,25,10,High School,4,12,Poor
Fatima Khan,26,19,Bachelor,8,16,Average
Ayesha Iqbal,51,19,Bachelor,6,0,Poor
Amna Iqbal,45,20,High School,6,17,Good
Zain Chaudhry,24,17,High School,5,14,Excellent
Ahmed Malik,32,9,High School,4,13,Average
Usman Butt,25,33,High School,5,8,Good
Fatima Sheikh,47,25,Master,9,11,Average
Ahmed Qureshi,48,29,Bachelor,5,4,Low
Fatima Chaudhry,48,8,Bachelor,6,1,Poor
Sara Raza,27,30,Bachelor,4,6,Average
Ayesha Qureshi,36,3,PhD,9,8,Good
Ali Chaudhry,51,5,PhD,6,17,Outstanding
Bilal Chaudhry,58,13,Master,9,3,Average
Sara Malik,58,3,Master,6,1,Average
Fatima Butt,58,25,Bachelor,6,0,Average
Ahmed Butt,56,16,Bachelor,6,11,Average
Zain Malik,44,18,Master,8,12,Average
Zain Qureshi,27,5,Master,7,13,Good
Usman Chaudhry,25,28,Bachelor,4,4,Good
Bilal Malik,39,10,Bachelor,8,2,Average
Usman Ashraf,30,15,PhD,7,3,Average
Fatima Shah,50,29,Master,9,16,Outstanding
Bilal Malik,34,24,Bachelor,7,18,Good
Sara Chaudhry,38,10,Master,7,10,Average
Usman Shah,53,6,Bachelor,8,7,Average
Usman Qureshi,43,25,High School,4,11,Good
Amna Khan,25,21,Bachelor,5,17,Average
Fatima Iqbal,26,24,Bachelor,7,17,Average
Zain Sheikh,58,18,High School,5,8,Average
Fatima Iqbal,34,30,Master,5,4,Good
Sara Sheikh,55,25,Bachelor,6,16,Average
Usman Shah,43,22,Bachelor,5,12,Average
Hassan Chaudhry,44,12,High School,9,5,Excellent
Zain Iqbal,24,24,Bachelor,9,13,Excellent
Ali Raza,55,1,Master,6,14,Good
Bilal Qureshi,53,1,Master,4,13,Poor
Bilal Sheikh,42,15,PhD,4,3,Average
Ahmed Ashraf,42,8,PhD,9,17,Average
Ali Butt,32,27,Bachelor,6,0,Low
Zain Khan,25,12,Bachelor,4,11,Excellent
Amna Shah,22,34,Master,7,8,Excellent
Ayesha Malik,49,12,PhD,4,9,Average
Bilal Iqbal,45,30,Master,6,17,Low
Bilal Sheikh,56,20,Master,9,16,Poor
Ahmed Butt,34,31,Master,7,18,Average
Amna Raza,55,33,Bachelor,5,3,Poor
Hassan Shah,32,7,Bachelor,5,15,Average
Zain Raza,57,1,Master,5,6,Average
Amna Chaudhry,38,31,Master,9,8,Excellent
Amna Raza,56,27,High School,6,7,Low
Sara Malik,39,0,Bachelor,5,6,Average
Ayesha Shah,43,9,High School,4,9,Excellent
Fatima Chaudhry,45,3,Bachelor,5,7,Average
Ali Malik,40,34,PhD,8,16,Poor
Bilal Shah,58,9,High School,9,11,Low
Fatima Ashraf,42,10,Bachelor,8,13,Good
Sara Ashraf,29,13,Bachelor,5,11,Good
Fatima Chaudhry,49,11,Master,5,1,Excellent
Usman Qureshi,26,16,Bachelor,8,11,Low
Ahmed Ashraf,38,15,Bachelor,9,13,Good
Zain Butt,58,34,Bachelor,9,6,Good
Zain Sheikh,57,1,Bachelor,5,12,Low
Hassan Khan,40,10,Bachelor,9,3,Outstanding
Sara Raza,48,2,Bachelor,7,0,Average
Fatima Sheikh,55,28,PhD,9,16,Excellent
Ali Malik,32,17,Bachelor,8,2,Excellent
Usman Raza,33,19,High School,6,16,Average
Zain Sheikh,42,13,Master,8,7,Average
Ayesha Khan,32,33,Bachelor,4,2,Average
Fatima Malik,49,30,Master,7,9,Good
Ayesha Butt,26,17,Bachelor,6,1,Average
Hassan Khan,38,29,Bachelor,5,3,Good
Fatima Raza,41,24,Master,4,13,Poor
Amna Raza,33,18,PhD,4,10,Good
Sara Iqbal,27,7,Bachelor,7,13,Average
Amna Qureshi,38,27,Bachelor,6,12,Low
Amna Butt,40,7,Bachelor,4,3,Good
Zain Sheikh,47,30,PhD,6,1,Poor
Usman Shah,53,2,PhD,6,1,Low
Zain Iqbal,27,2,High School,9,10,Low
Usman Qureshi,57,21,High School,4,4,Average
Ahmed Khan,59,16,Bachelor,6,8,Average
Ayesha Raza,32,16,High School,7,19,Good
Zain Qureshi,54,13,Bachelor,4,16,Good
Usman Butt,45,8,High School,7,11,Average
Usman Malik,44,29,Master,7,17,Average
Bilal Qureshi,36,20,PhD,6,2,Low
Fatima Malik,48,11,PhD,6,4,Good
Usman Qureshi,32,31,Bachelor,9,19,Average
Bilal Raza,38,10,Bachelor,9,13,Low
Bilal Iqbal,35,19,Master,4,15,Low
Ali Ashraf,48,34,High School,9,18,Average
Hassan Chaudhry,39,10,Master,5,8,Good
Amna Malik,49,7,Bachelor,4,16,Poor
Ahmed Raza,25,3,Bachelor,7,6,Average
Amna Butt,28,26,Bachelor,9,9,Low
Amna Khan,56,29,High School,9,3,Outstanding
Usman Raza,30,26,Master,9,9,Good
Amna Qureshi,29,20,Bachelor,6,2,Low
Fatima Butt,38,19,Bachelor,7,8,Low
Bilal Sheikh,38,3,High School,9,12,Excellent
Usman Ashraf,54,10,Master,8,0,Low
Fatima Ashraf,53,12,Bachelor,8,14,Outstanding
Ayesha Raza,29,8,Bachelor,7,14,Average
Amna Qureshi,40,3,Bachelor,9,10,Poor
Usman Qureshi,59,11,Bachelor,5,9,Good
Bilal Khan,24,8,Bachelor,5,6,Average
Amna Qureshi,26,12,Master,4,0,Outstanding
Sara Sheikh,34,25,High School,4,6,Good
Fatima Shah,52,12,High School,9,4,Average
Ahmed Malik,37,27,Master,4,15,Good
Bilal Iqbal,53,18,Bachelor,6,7,Good
Zain Raza,43,23,Bachelor,5,1,Average
Bilal Raza,50,18,Bachelor,7,7,Average
Zain Sheikh,43,12,Bachelor,9,13,Low
Bilal Qureshi,24,12,Master,9,3,Average
Zain Ashraf,31,27,Master,8,14,Good
Hassan Iqbal,42,1,Master,5,6,Average
Ahmed Raza,37,9,Master,5,19,Average
Ahmed Chaudhry,33,21,Bachelor,5,7,Good
Amna Raza,23,12,Bachelor,4,10,Poor
Ahmed Qureshi,45,8,Bachelor,6,1,Average
Amna Sheikh,56,32,Bachelor,7,8,Excellent
Bilal Sheikh,51,13,PhD,4,5,Average
Zain Sheikh,51,19,Master,6,0,Average
Fatima Malik,56,14,Bachelor,5,2,Average
Amna Iqbal,40,31,High School,6,9,Good
Ali Sheikh,29,32,High School,4,4,Average
Fatima Sheikh,47,16,Bachelor,5,11,Poor
Usman Ashraf,28,23,High School,4,0,Poor
Bilal Shah,51,29,Bachelor,7,8,Good
Ayesha Butt,28,12,Master,5,12,Average
Ayesha Sheikh,24,15,Master,6,18,Good
Sara Malik,22,1,Bachelor,4,6,Average
Ahmed Sheikh,57,16,Bachelor,8,15,Average
Usman Chaudhry,46,31,Bachelor,6,7,Excellent
Zain Qureshi,58,7,Master,6,18,Poor
Zain Chaudhry,22,2,Master,5,6,Low
Zain Raza,36,11,PhD,9,3,Average
Zain Raza,58,19,Bachelor,6,9,Poor
Sara Khan,34,15,Master,4,0,Average
Fatima Malik,29,13,High School,8,16,Outstanding
Hassan Sheikh,26,15,Bachelor,7,12,Excellent
Amna Chaudhry,30,32,Bachelor,8,18,Average
Hassan Ashraf,22,29,Bachelor,4,12,Excellent
Ahmed Shah,57,11,Master,5,8,Low
Hassan Butt,56,14,Bachelor,4,4,Average
Ahmed Sheikh,23,17,High School,9,0,Average
Sara Raza,44,27,High School,9,1,Average
Usman Shah,30,22,High School,9,10,Poor
Usman Qureshi,55,13,High School,6,3,Excellent
Bilal Raza,35,29,High School,5,8,Good
Sara Raza,25,32,Bachelor,9,4,Good
Ali Sheikh,51,14,Bachelor,7,4,Low
Hassan Chaudhry,52,6,PhD,7,7,Average
Hassan Ashraf,59,14,Bachelor,4,1,Excellent
Hassan Raza,32,10,High School,9,6,Average
Bilal Shah,56,28,Bachelor,6,16,Average
Usman Chaudhry,29,30,Master,7,10,Excellent
Bilal Ashraf,24,24,Master,8,14,Average
Bilal Chaudhry,35,23,Bachelor,5,2,Average
Zain Chaudhry,34,18,Bachelor,8,12,Average
Amna Iqbal,53,1,Master,7,17,Average
Usman Iqbal,55,21,Master,7,19,Good
Ali Butt,40,19,Master,4,19,Average
Hassan Khan,59,32,Master,4,2,Average
Sara Iqbal,37,7,Master,9,1,Average
Amna Shah,23,24,Bachelor,5,4,Low
Usman Iqbal,38,8,Bachelor,9,19,Average
Bilal Iqbal,55,33,Master,4,4,Low
Usman Raza,37,22,Master,6,12,Excellent
Ayesha Butt,59,4,High School,5,7,Average
Bilal Qureshi,23,24,PhD,6,15,Average
Ayesha Butt,23,7,Bachelor,9,17,Average
Ahmed Shah,47,15,Bachelor,4,15,Average
Ayesha Chaudhry,34,14,Master,5,0,Average
Usman Iqbal,52,0,Bachelor,9,7,Excellent
Ahmed Butt,55,21,Bachelor,7,1,Average
Hassan Malik,24,2,High School,9,4,Good
Amna Malik,29,13,Bachelor,8,14,Low
Ahmed Chaudhry,44,17,Bachelor,7,13,Poor
Amna Sheikh,35,17,Bachelor,6,2,Good
Bilal Shah,48,2,Bachelor,7,6,Average
Fatima Butt,50,9,PhD,9,3,Average
Usman Sheikh,22,0,PhD,7,10,Average
Hassan Chaudhry,38,26,High School,8,11,Poor
Sara Butt,51,26,Master,9,14,Average
Ali Qureshi,34,10,High School,8,5,Excellent
Fatima Sheikh,42,4,High School,7,0,Low
Ali Malik,40,6,High School,8,17,Excellent
Ali Butt,40,18,PhD,7,13,Average
Fatima Malik,46,28,PhD,5,6,Average
Amna Shah,43,14,Bachelor,7,9,Poor
Amna Chaudhry,52,34,Bachelor,4,8,Average
Ahmed Shah,38,11,Bachelor,8,1,Low
Amna Shah,44,29,Bachelor,8,7,Poor
